District_1,County,Enrollment_1,PercentFreeorReducedLunch,SumofAmountofBondTax,BondAmountPerStudent
San Rafael City High,Marin,2648,52.2,223000000,84215
Plaza Elementary,Glenn,209,52.2,750000,3589
San Francisco Unified,San Francisco,60263,52.1,2020250000,33524
Midway Elementary,Kern,85,51.8,7800000,91765
Yreka Union High,Siskiyou,612,51.8,8000000,13072
Cottonwood Union Elementary,Shasta,1163,51.8,2200000,1892
Camino Union Elementary,El Dorado,466,51.7,4000000,8584
Natomas Unified,Sacramento,14895,51.5,320380000,21509
Maricopa Unified,Kern,6367,51,6000000,942
Redwood City Elementary,San Mateo,8803,50.9,215000000,24423
Escalon Unified,San Joaquin,2935,50.7,27000000,9199
Newark Unified,Alameda,5913,50.6,63000000,10654
Orchard Elementary,Santa Clara,875,50.5,56000000,64000
Santa Barbara Unified,Santa Barbara,15042,50.4,395000000,26260
Napa Valley Unified,Napa,18093,50.2,547000000,30233
Glendale Unified,Los Angeles,26071,50.2,270000000,10356
Paso Robles Joint Unified,San Luis Obispo,6871,50.1,135000000,19648
Lucia Mar Unified,San Luis Obispo,10551,49.9,191350000,18136
Fullerton Joint Union High,Orange,13901,49.8,242940000,17476
Rio Bravo-Greeley Union Elementary,Kern,1029,49.8,10900000,10593
La Honda-Pescadero Unified,San Mateo,316,49.7,15000000,47468
Yosemite Unified,Madera,2176,49.5,11760000,5404
Imperial Unified,Imperial,4149,48.9,52000000,12533
Ojai Unified,Ventura,2518,48.8,35000000,13900
New Haven Unified,Alameda,11613,48.7,245000000,21097
Westside Union Elementary,Los Angeles,9434,48.1,96710000,10251
North County Joint Union Elementary,San Benito,747,47.9,3350000,4485
Acton-Agua Dulce Unified,Los Angeles,14855,47.9,13000000,875
San Miguel Joint Union,San Luis Obispo,901,47.6,9750000,10821
Wheatland,Yuba,1376,47.6,5700000,4142
Manchester Union Elementary,Mendocino,40,47.5,1310000,32750
Rincon Valley Union Elementary,Sonoma,3442,47.4,58900000,17112
Orange Unified,Orange,27915,47.4,288000000,10317
Santa Rosa High,Sonoma,11186,47.2,252000000,22528
Chino Valley Unified,San Bernardino,28141,47,900000000,31982
Fruitvale Elementary,Kern,3240,47,52800000,16296
Round Valley Joint Elementary,Inyo,143,46.9,1200000,8392
Chico Unified,Butte,14228,46.8,230000000,16165
Amador County Unified,Amador,3926,46.8,11000000,2802
Ocean View,Orange,8263,46.7,13200000,1597
Northern Humboldt Union High,Humboldt,1761,46.6,25800000,14651
Forestville Union Elementary,Sonoma,263,46.4,10200000,38783
Pioneer Union Elementary,Kings,1593,46.3,14500000,9102
Black Oak Mine Unified,El Dorado,1242,46.2,6900000,5556
Sausalito Marin City,Marin,538,46.1,15900000,29554
Menifee Union Elementary,Riverside,11676,46.1,180960000,15498
Oakley Union Elementary,Contra Costa,5197,46,47500000,9140
Wheatland Union High,Yuba,784,45.8,9000000,11480
San Jose Unified,Santa Clara,31713,45.7,719000000,22672
Corona-Norco Unified,Riverside,53294,45.6,646000000,12121
Hart-Ransom Union Elementary,Stanislaus,1211,45.5,3900000,3220
Soulsbyville Elementary,Tuolumne,530,45.3,1500000,2830
Mt. Diablo Unified,Contra Costa,31317,45.2,598000000,19095
Cayucos Elementary,San Luis Obispo,191,45,7850000,41099
Pacific Elementary,Santa Cruz,120,45,830000,6917
Cotati-Rohnert Park Unified,Sonoma,6198,44.8,160000000,25815
Sonora Elementary,Tuolumne,748,44.8,7800000,10428
Golden Valley Unified,Madera,1940,44.5,100000000,51546
Summerville Union High,Tuolumne,1122,44.4,17991000,16035
Sundale Union Elementary,Tulare,827,44.4,1250000,1511
Newport-Mesa Unified,Orange,21234,44.3,282000000,13281
Lakeside Union Elementary,San Diego,6217,44.2,110550000,17782
Harmony Union Elementary,Sonoma,652,44,9600000,14724
Cuyama Joint Unified,Santa Barbara,761,43.9,6000000,7884
Campbell Union,Santa Clara,7298,43.7,296900000,40682
Temple City Unified,Los Angeles,5831,43.7,128800000,22089
Oakdale Joint Unified,Stanislaus,5326,43.3,20000000,3755
Mark West Union Elementary,Sonoma,1459,43.2,25000000,17135
Sonora Union High,Tuolumne,1079,43.1,23000000,21316
Mendocino Unified,Mendocino,509,43,18000000,35363
Tehachapi Unified,Kern,4454,42.7,24000000,5388
Santa Cruz City Elementary,Santa Cruz,2096,42.7,68000000,32443
Kingsburg Joint Union High,Fresno,1158,42.7,32900000,28411
Oak Grove Elementary,Santa Clara,10305,42.2,214800000,20844
Clovis Unified,Fresno,43106,42.2,466000000,10811
Sebastopol Union Elementary,Sonoma,905,41.9,12200000,13481
Dry Creek Joint Elementary,Placer,6866,41.8,67300000,9802
Santee,San Diego,6788,41.8,60000000,8839
Vacaville Unified,Solano,13163,41.7,295300000,22434
South San Francisco Unified,San Mateo,8707,41.6,162000000,18606
Newhall,Los Angeles,6537,41.6,95500000,14609
Freshwater Elementary,Humboldt,354,41.5,2100000,5932
Bret Harte Union High,Calaveras,689,41.4,18000000,26125
Santa Clara Unified,Santa Clara,15509,41.3,815100000,52557
Orcutt Union Elementary,Santa Barbara,5202,41.3,75000000,14418
Gold Oak Union Elementary,El Dorado,489,40.9,8950000,18303
Santa Cruz City High,Santa Cruz,4637,40.8,140000000,30192
